tcode,description,module
CMTCUS22,Maintain number range for CM product,
CMTCUS32,Maintain number range for CM folder,
CMTCUS42,Maintain number ranges for Baseline,
CMV1,Create variable,
CMV2,Change variable,
CMV3,Display variable,
CMV4,Delete value variable,
CMX02,XSteps: Define BAdI Filter Values,
CMX04,XSteps: Release Namespaces,
CMX20,SXS Repository: Authorization Groups,
CN22,Change Network,
CN38,Maintain Flexible Reference Point,
CNG3,Netw./hier.: maintain color definit.,
CNG8,Netw./Hier.: Maintain field def.,
CNG9,Graph. Cust. Netw./Hierarchy Graph.,
CNLDSTINIT,Initialization: Lang.-Dep.Short Txts,
CNN1,Number range maint.: ROUTING_0,
CO02,Change Production Order,
CO06,Backorder Processing,
CO07,Create order without a material,
CO09,Availability Overview,
CO16N,Postprocessing Confirmation,
CO24,MissingPartsInfoSyst,
CO43,Act. Overhead: Prod.Ordr Col.Pro.,
CO44,Mass processing of orders,
CO60_VM,ALV Variant Maint. PI Sheet Worklist,
CO80,Number range maintenance: AUF_RUECK,
CO81,Number assignment: routing to order,
CO82,Number ranges for orders,
CO83,Number range maintenance: RESB,
CO84,No. Range for ReqmtsTrackgNo. (KBED),
CO86,Field Selection for PP Confirmations,
CO88,Act. Settlment: Prod./Process Orders,
COB1,Create batch search strategy - prod.,
COB2,Change batch search strategy - prod.,
COB3,Display batch search strategy- prod.,
COCR_NUM,Early Number Assignment for XStep,
COCR_PROF,Assign Standard XStep Profile,
COCS,Batch Record: Signature Strategy,
COCU1,Batch Record: Document Profile,
COCU2,"Batch Record: L-Profile, Dev.Anal.",
COF1,Filter prof. - maintain prod. order,
COFC,Reprocessing Errors Actual Costs,
COGI,Postprocess Faulty Goods Movements,
COHVPI,Mass Processing: Process Orders,
COIB,As-Built for Serialized Material,
COID,Select Object Detail Lists in PP-PI,
COIO,Order Info System for PP-PI,
COIS,Order info system: customizing,
COISN,Order info system: customizing,
COMCPRAUTHGROUP,Authorization Groups,
COMCPRFORMAT,Format of the Product ID,
COMCPRMSG,Configure Customer-Specific Messages,
COMCPRTYPENRO,Number Assignment Control,
COMC_MATERIALID_ALL,Number Range Maintenance Materials,
COMC_SERVICEID_ALL,Number Range Maintenance Service,
COMLWIPDISP,Trans. For Prog. Display_WIP_OBJ_M,
COMLWIPDOC,Display WIP Quantities Document,
COMM_CAT_TRANS,Transport Category,
COMM_EXTRSET,Extraction Individual Objects,
COMM_HIERARCHY,Maintain Categories and Hierarchies,
COMP,Customizing Missing Parts Info Syst.,
COND_POWL_TEST,Condition Info.: Test Object Types,
CONV12,Conversion: Location Dependency,
COOISPI,Process Order Information System,
COOPC1,Define Settings for SAP ODA,
COPD,Print Process Order,
COPI,Print Process Order ShopFloor Papers,
COR1,Create Process Order,
COR2,Change Process Order,
COR3,Display Process Order,
COR4,Customizing Process Order RecTypePar,
COR5,Collective Process Order Release,
COR6,Single Process Order Confirmation,
COR6N,Single Screen Entry of Confirmations,
COR7,Convert Planned Order to Proc. Order,
COR7_PC,Part.Conv.: Plnned Ord. to Proc.Ord.,
COR8,Coll.Conv.: Plnned Ord. to Proc.Ord.,
CORA,Process Order: Schedule Ext. Relshps,
CORC,Search Proc. for Batch Determ. PP-PI,
CORK,Process Order Confirmations (Total),
CORM,Mass Processing,
CORN,Order Types Process Order,
CORO,Create Process Order w/o Material,
CORR,Collective Entry of Confirmations,
CORS,Cancel Process Order Confirmation,
CORT,Display Process Order Confirmation,
CORU,Maintain prod. scheduler group,
CORW,Prod. Scheduling Profiles/Batches,
CORX,Cust.:Scheduling Type Process Orders,
CORY,Cust.:Production Scheduling Profiles,
CORZ,Process Order: Time Event Confirmat.,
COS1,Sort profiles - maintain prod. order,
COWF1,Task Customizing (Production Order),
CP01,Create Business Process,
CP02,Change Business Process,
CP65,Create ABC Planning Layout (ActInpt),
CP66,Change ABC Planning Layout (AcInput),
CP75,Planning Layout: Create Qtys/Prices,
CP76,Planning Layout: Change Qtys/Prices,
CP85,Create ABC Planning Layout (St.KF),
CP86,Change ABC Planning Layout (St.KF),
CPC1,Create Actual Indirect Acty Alloc.,
CPC2,Change Actual Indirect Acty Alloc.,
CPC7,Create Indirect Activity Alloc. Plan,
CPC8,Change Indirect Activity Alloc. Plan,
CPCN,Nummernkreispflege: PCAMPAIGN,
CPH1,Create Business Process Group,
CPH2,Change Business Process Group,
CPH4N,Change Standard Hierarchy,
CPP1,Create Actual Assess. for Processes,
CPP2,Change Actual Assess. for Processes,
CPP7,Create Plan Assess. for Processes,
CPP8,Change Plan Assess. for Processes,
CPT1,Create Template,
CPT2,Change Template,
CPT3,Display Template,
CPV1,Create Actual Process Distribution,
CPV2,Change Actual Distribution Process,
CPV7,Create Plan Process Distribution,
CPV8,Change Plan Process Distribution,
CQ85,Maintain prt control for insp. order,
CR02,Change Work Center,
CR05,Work Center List,
CR06,Work Center Assignment to Cost Ctr,
CR07,Work Center Capacities,
CR08,Work Center Hierarchy,
CR10,Work center change documents,
CR11,Add Capacity,
CR12,Change capacity,
CR13,Display Capacity,
CR15,Capacity where-used,
CR31,Create Hierarchy,
CR32,Change Hierarchy,
CR33,Display Hierarchy,
CR60,Work center information system,
CRC1,Create Resource,
CRC2,Change Resource,
CRC3,Display Resource,
CRMBWST,Genertd DataSource for BW Status Obj,
CRM_TAX_VALIDATE_BP,Customizing Report for BP in OLTP,
CRQ1,Create work center,
CRQ2,Change work center,
CRQ3,Display work center,
CS01,Create Material BOM,
CS02,Change Material BOM,
CS03,Display Material BOM,
CS05,Change Material BOM Group,
CS07,Allocate Material BOM to Plant,
CS11,Display BOM Level by Level,
CS12,Multilevel BOM,
CS13,Summarized BOM,
CS14,BOM Comparison,
CS15,Single-Level Where-Used List,
CS20,Mass Change: Initial Screen,
CS61,Create Order BOM,
CS62,Change Order BOM,
CS63,Display Order BOM,
CS80,Change Documents for Material BOM,
CSADMIN,Content Server Administration,
CT01,Create Characteristic,
CT02,Change Characteristic,
CT03,Display Characteristic,
CT04,Characteristics,
CT05,Create Characteristic,
CT10,Characteristics List,
CT12,Where-Used List for Char.Environment,
CTBW,Table Maint. for BW and Classes,
CTU6,Function Tree with Tree Control,
CU01,Create Dependency,
CU14,Maintenance Auths for Dependencies,
CU70,Create Sort Sequence,
CU71,Change Sort Sequence,
CU72,Display Sort Sequence,
CUNI,Units of measure,
CUSTSELDEF_FIAA,Selection Tool Default Criteria /CUS,
CUSTSELDEF_IM_FA_IA,Selection Tool Default Criteria /CUS,
CUSTSEL_FIAA,Customizing of Selection Tool,
CUSTSEL_IM_FA_IA,Customizing of Selection Tool,
CUS_FLEET_01,Field Selection Fleet Fields Equipmt,
CV01N,Create Document,
CV02N,Change Document,
CV03N,Display document,
CVD1,Edit Report Shipping Orders,
CVIX,Activate event type linkage,
CVIY,Task-specific Customizing,
CVSE_CUSTOMIZING,Customizing for SE document search,
CVSNUMDDBID,Edit Number Range: CVD_DDBID,
CVSNUMDDOID,Edit Number Range: CVD_DDOID,
CVSNUMDDPID,Edit Number Range: CVD_DDPID,
CVSNUMEVENT,Edit Number Range: CVD_EVENT,
CVSNUMEXPORT,EHS Number Range: CVD_EXPORT,
CVSNUMJOBID,Edit Number Range: CVD_JOBID,
CVSNUMLOGID,Edit Number Range: CVD_LOGID,
CVSNUMPARID,Edit Number Range: CVD_PARID,
CVSNUMRECN,Edit Number Range: CVD_RECN,
CX0A1,Edit Characteristics,
CX0AA,Maintain Default Values,
CX0AB,Display Default Values,
CX0AC,Attrib for CU: Maint. Char. Values,
CX0AD,Attrib for CU: Displ. Char. Values,
CX0AE,Subassign.: Maintain Char Values,
CX0AF,Subassign.: Display Char Values,
CX0T9,Export Transaction Data,
CX0TA,Import Transaction Data,
CX0TC,Transport of ECCS Customizing,
CX0UD,Copy Customizing Between Dimensions,
CX0UN,Copy Document Number Ranges,
CX10,Create cons charts of accounts,FI
CX11,Change cons charts of accounts,FI
CX12,Display cons charts of accounts,FI
CX13,Create FS items,FI
CX14,Change FS items,FI
CX15,Display FS items,FI
CX16,Edit Item Hierarchy,FI
CX17,Display Item Hierarchy,FI
CX19,CU / Financial Data Type Assignments,FI
CX1B1,Upload Methods - Cons Units,FI
CX1B2,Upload Consolidation Units,FI
CX1C1,Upload Methods for Cons Groups,FI
CX1C2,Upload Consolidation Groups,FI
CX1C3,Copy Cons Group Hierarchies,FI
CX1I0,Upload Methods for FS Items,FI
CX1I2,Upload FS Items,FI
CX1I3,Mass Change: FS Items,FI
CX1I4,Breakdown Categories,FI
CX1J,Create dimensions,FI
CX1K,Change Dimensions,FI
CX1L,Display dimensions,FI
CX1M,Create consolidation units,FI
CX1N,Change Consolidation Units,FI
CX1N1,Set Cons Units Inactive,FI
CX1O,Display Consolidation Units,FI
CX1P,Create consolidation group,FI
CX1Q,Change consolidation group,FI
CX1R,Display consolidation group,FI
CX1S0,Upload Methods for Subitems,FI
CX1S2,Upload Subitems,FI
CX1S3,Display subitem category/subitem,FI
CX1S4,Change subitem category/subitem,FI
CX1X,Edit Cons Group Hierarchies,FI
CX1Y,Display CG Hierarchy,FI
CX1Z_CONGR,Hierarchy Variants for Cons Groups,FI
CX1Z_ITEM,Hierarchy Variants for FS Items,FI
CX23,Default Values for Activity Entry,FI
CX37,Create data entry layout,FI
CX38,Change data entry layout,FI
CX39,Display data entry layout,FI
CX3A,Translate Data Entry Layout,FI
CX3B,CG: Assign Valid. and CU recordable,FI
CX3D,Cons: Import Data Entry Layout,FI
CX3E,Cons: Transport Data Entry Layout,FI
CX3F0,Upload Methods - Chgs in Investments,FI
CX3F1,Upload Methods - Changes in Equity,FI
CX3F2,Upload Methods - Equity Holdings Adj,FI
CX3F6,Method for uploading inventory data,FI
CX3F7,Method for uploading supplier data,FI
CX3FA,Upload Methods-Fair Value Adjs(Cust),FI
CX3FB,Upload FVAs (Master data),FI
CX3FC,Upload Meths: Fair Value Adjs(Value),FI
CX3FE,"Upload Methods, Product Groups",FI
CX3FF,Upload Product Groups,FI
CX3FG,Upload Methods for Breakdown Cats,FI
CX3FH,Upload Breakdown Categories,FI
CX3FI,Upload Methods for Goodwill,FI
CX3O1,Scaling Factor for Online Entry,FI
CX55,Validate documents,FI
CX59,Journal Entry Layouts,FI
CX5B,Cons: Number Ranges - Cons Units,FI
CX5C,Cons: Number Ranges - Activity No's,FI
CX5H,Cons: Number Range Maintenance Log,FI
CX5T0,Custom Tasks,FI
CX5T7,IMG: Tasks for Elim. of P/L in Inv.,FI
CX5T9,Copy Tasks,FI
CX5TA,Cons Groups to be Copied,FI
CX5TB,Tasks without Settings,FI
CX5TC,Cons Units to be Copied,FI
CX5TD,Edit Consolidation Cycles,FI
CX5TE,Assign Cons Cycles to Versions,FI
CX5U1,Product Groups & Inventory Items,FI
CX5U2,IPI: Product Group Posting Items,FI
CX5U3,IPI: Inventory Item-Dep. Posting Itm,FI
CX5UB,"Elim.IU P/L Inv: Subassign, Inv.Item",FI
CX5UC,Global Settings for Elim.of IPI,FI
CX6C2,Subitems for Equity Aging Report,FI
CX6C3,Check Customizing of Cons of Investm,FI
CX6F2,Fair Value Adjustments,FI
CX7B0,Read Customizing Data from SAP BW,FI
CXA2,Item Categories,FI
CXA9,Reasons for Inclusion,FI
CXAO,CU / Translation Method Assignments,FI
CXAP,Cons Unit/Tax Rate Assignments,FI
CXAQ,Cons: CU: Validation Assignment,FI
CXAR,Mass Changes - Cons Units,FI
CXAS,Mass Changes - Cons Groups,FI
CXB1,Versions,FI
CXB2,Consolidation frequencies,FI
CXB3,Global System Settings,FI
CXB4,Generate Authorizations for CGs,FI
CXB5,Central maintenance of master data,FI
CXC2,Data Entry Groups,FI
CXC4,Data entry profiles,FI
CXC5,Cons: Selection parameters FICDOW00,FI
CXC6,Cons: Selection parameters FICDOW10,FI
CXC8,Assign PC Pathname to CG/CU,FI
CXC9,Period Categories,FI
CXCA,Financial data types,FI
CXCC,Upload Methods: Reported Fin. Data,FI
CXCL,Cons: Item Substitution/Ret.Earnings,FI
CXD1,Currency translation methods,FI
CXD2,Exchange Rate Indicators,FI
CXD3,Cur.Trl.aff.Earnings: FS Items,FI
CXDL,Delete trans. data in Cons ledger,FI
CXDT_EXT,Translation: Decentral Texts,FI
CXDT_INT,Translation: Miscellaneous Texts,FI
CXE0,Task groups,FI
CXE0P,Assignment Archiving Log,FI
CXE5,Post selected items,FI
CXE6,Tasks for IU Elimination,FI
CXE7,Methods for Interunit Elimination,FI
CXEA,Tasks for Reclassification,FI
CXEB,Methods for Reclassification,FI
CXED,Tasks for Prep.for Cons Group Change,FI
CXEG,IMG: Doc.Types for Man.Posting - DM,FI
CXEH,IMG: Doc.Types for Reclassific. - DM,FI
CXEI,IMG: Doc.Types for Prep/CG Chgs - DM,FI
CXEJ,IMG: Doc.Types for Man.Posting - CM,FI
CXEK,IMG: Doc.Types for Reclassific. - CM,FI
CXEL,IMG: Doc.Types for Prep/CG Chgs - CM,FI
CXEM,IMG: Doc.Types for IU Elimination,FI
CXEN,IMG: Doc.Types for Cons of Investmts,FI
CXEO,IMG: Doc. Types for Realtime Update,FI
CXEP,IMG: Document types for EIPI,FI
CXEU1,ECCS EURO: Populate Euro Units,FI
CXEU2,ECCS EURO: Maintain Euro Units,FI
CXEU3,ECCS EURO: Select Ledger,FI
CXEU4,ECCS Euro: Status Management,FI
CXEU5,ECCS EURO: Selected Items,FI
CXEUA,ECCS EURO: Reconcile Totals Records,FI
CXEUB,ECCS EURO: Additional Financial Data,FI
CXEUC,ECCS Euro: Integrationration,FI
CXG1,Integrationrated Entry from Invest./Equity,FI
CXGP,Global parameters,FI
CXH1,Minority Interest Items,FI
CXH2,Appropriation Items for the Group,FI
CXH3,Minority Appropriation Items,FI
CXH4,Statistical Equity Capital,FI
CXH5,Other Comprehensive Income,FI
CXHA,Distribution of Dividends,FI
CXHB,Director's Bonus,FI
CXI0,Global Settings for C/I,FI
CXI2,C/I system utilization,FI
CXI3,C/I Activities: Default Sequence,FI
CXI4,Consolidation of investments methods,FI
CXI5,Activity/Method Type: Asgn Doc.Types,FI
CXI9,Selected Items for C/I,FI
CXIA,Consolidation tasks,FI
CXIB,Cons Tasks: Assign Document Type,FI
CXJ1,Equity Method: Scope of Rptd Data,FI
CXJ2,Reported Items for Equity Method,FI
CXJ3,Posted Items in Equity Consolidation,FI
CXJ5,Reported Items for Changes in Equity,FI
CXL1,Create Ledger,FI
CXL2,Change Ledger,FI
CXL3,Display Ledger,FI
CXL4,Delete Ledger,FI
CXLP2,Delete Archived Logs,FI
CXM1,Edit Method Hierarchies,FI
CXM2,Display method hierarchies,FI
CXN0,Map Secondary Cost Elements,FI
CXN001,Delete Docs from Realtime Updates,FI
CXN01,Maintain Transaction Types of Cons,FI
CXN011,Define Profit Center Groupings,FI
CXN013,Integrationr. Cons Units - PrCtr Cons,FI
CXN023,Integrationr. Cons Groups - PrCtr Cons,FI
CXN1,Map Charts/Accounts to Cons Charts/Account,FI
CXN2,Compare G/L Charts and Cons Charts,FI
CXN3,Rules for ID Combination,FI
CXN4,Convert Collection of CU Master Data,FI
CXN41,Realtime Update: Ledger Selection,FI
CXN5,Assign Company Codes/Business Areas,FI
CXN6,Cons Type and Dimension Assignments,FI
CXN7,Download Rollup-related Data,FI
CXN8,Upload Rollup-related Data,FI
CXNA,Download PCA Hierarchies,FI
CXNB,Download Business Areas/Companies,FI
CXNC,EC-PCA Trx.Data: Cost Elem./Activity,FI
CXND,EC-PCA Trx.Data: Partner Info,FI
CXNE,List CO Cost Elements by Category,FI
CXNF,Assign G/L chart and Cons chart,FI
CXNG,Integrationrated Cons Units,FI
CXNM,Follow-up pstng FI-Doc. (Tot. table),FI
CXNN,Write Periodic Extract,FI
CXNO,Delete Realtime-Updated Documents,FI
CXNP,Copy Group Accounts to FS Items,FI
CXNR,Reconc. totals record General/ConsSL,FI
CXNT,Subsequent Integrationration of Org Units,FI
CXNU,Maintain Field Movement/Real.Update,FI
CXNV,Maintain Group Account in G/L Account,FI
CXNW,Subseq.Posting of FI Docs->ConsPrep.,FI
CXNY,Set/Display Lock Mode for Rollup,FI
CXNZ,Reconciliation Totals Consolidation,FI
CXOC1,Organizational Change Numbers,FI
CXOC2,"Top Groups, Organizational Changes",FI
CXP1,Assign Task groups,FI
CXP5,Tasks for Manual Posting,FI
CXP9,Tasks for Valid.of consolidated data,FI
CXR1,Create drilldown report,FI
CXR2,Change drilldown report,FI
CXR3,Display drilldown report,FI
CXR4,Form for creating reports,FI
CXR5,Form for changing reports,FI
CXR6,Form for displaying reports,FI
CXRA,Maintain Variant Groups,FI
CXRB,Maintain Variants,FI
CXRC,Schedule Variant Groups,FI
CXRD,Create Variant Groups,FI
CXRE,Reorganization of Variant Groups,FI
CXRF,Characteristic Group Maintenance,FI
CXRH,Hierarchy Maintenance,FI
CXRO,Transport reports,FI
CXRP,Transport forms,FI
CXRQ,Import Reports from Client,FI
CXRR,Import Layouts from Client,FI
CXRT,Translation Tool - Drilldown Reports,FI
CXRU,Cross-table translation keys,FI
CXRV,Maintain global variables,FI
CXRW,Convert Drilldown Reports,FI
CXRX,Reorganize Drilldown Reports,FI
CXRY,Reorganize report data,FI
CXRZ,Reorganize Forms,FI
CXS3,Carryforward Items,FI
CXS4,Non-carryforward Items,FI
CXSA,Display Set Maintenance,FI
CXSB,Change Set Maintenance,FI
CXSC,Create Set Maintenance,FI
CXSD,Delete Set Maintenance,FI
CXV2,Create Validation,FI
CXV3,Change Validation,FI
CXV4,Display Validation,FI
CXV5,Maintain equivalency relationship,FI
CY38,Resource planning format,
CY39,Sort layout key maintenance,
CY40,Planning table sort key maintenance,
CZ48_1,PS-CM: Create Planning Layout,
CZ48_2,PS-CM: Change Planning Layout,
CZ48_3,PS-CM: Display Planning Layout,
CZ48_4,Transport Planning Layouts,
CZ48_5,Import Planning Layouts,
DCSWITCH,Browser and ACL switch,
DGA1,DG: Activation DG Checks,
DGCI,DG: Date Determination,
DGCL,DG: Primary and Secondary Languages,
DGE5,DG Filling from Spec. Management,
DGP10,Generate Phrase Sets,
DGP2,Change Dangerous Goods Master,
DGP3,Display Dangerous Goods Master,
DGP5,Report for sending dangerous goods,
DGP7,Display import logs,
DGP9,Activate phrase library,
DGR1,Displaying DG master data,
DGR4,Display DG Packaging Data,
DGSD,Display Report Logs,
DIACLC2,Customizing for cntr upd in Logbook,
DIACLC3,Logbook: Dig. signature customizing,
DIACLC4,Log Entry Type customizing,
DIWPSC4,Customizing of Revision Type,
DIWPS_REVNRS,Number Range Maintenance: WPS_REV,
DMEE,DMEE: Format Tree Maintenance Tool,
DMWB,Document Modeling Workbench,
DRC1,Create Cond. Table: Deriv. Recipient,
DRC2,Create Cond. Table: Deriv. Recipient,
DRC3,Create Cond. Table: Deriv. Recipient,
DRC4,Conditions: V_T681F for R DR,
DRC5,Access Sequences: Deriv. Recipient,
DRC6,Strategy Types: Derivation Recipient,
DRC7,Search Proc.: Derivation Recipient,
DSAL,Digital Signature Logs,
DSC1,Create CondTables: Derivation Sender,
DSC2,Create CondTables: Derivation Sender,
DSC3,Create CondTables: Derivation Sender,
DSC4,Conditions: V_T681F for R DS,
DSC5,Access Sequences: Derivation Sender,
DSC6,Strategy Types: Derivation Sender,
DSC7,Search Procedures: Derivation Sender,
DVC1,Derivation: No. Range f. Deriv. No.,
DVC2,Derivation: No. Range f. Cond. Recds,
DVC8,Assignmt of Search Procedure to Evnt,
